wkt_geom,id,node_id,xmin,ymin,xmax,ymax
"Polygon ((139.470877 35.867151, 139.912594 35.867151, 139.912594 35.510184, 139.470877 35.510184, 139.470877 35.867151))",1,0,139.470877,35.510184,139.912594,35.867151
"Polygon ((139.470877 35.6886675, 139.6917355 35.6886675, 139.6917355 35.510184, 139.470877 35.510184, 139.470877 35.6886675))",2,1,139.470877,35.510184,139.6917355,35.6886675
"Polygon ((139.6917355 35.6886675, 139.912594 35.6886675, 139.912594 35.510184, 139.6917355 35.510184, 139.6917355 35.6886675))",3,2,139.6917355,35.510184,139.912594,35.6886675
"Polygon ((139.470877 35.867151, 139.6917355 35.867151, 139.6917355 35.6886675, 139.470877 35.6886675, 139.470877 35.867151))",4,3,139.470877,35.6886675,139.6917355,35.867151
"Polygon ((139.6917355 35.867151, 139.912594 35.867151, 139.912594 35.6886675, 139.6917355 35.6886675, 139.6917355 35.867151))",5,4,139.6917355,35.6886675,139.912594,35.867151
"Polygon ((139.470877 35.59942575, 139.58130625 35.59942575, 139.58130625 35.510184, 139.470877 35.510184, 139.470877 35.59942575))",6,5,139.470877,35.510184,139.5813063,35.59942575
"Polygon ((139.58130625 35.59942575, 139.6917355 35.59942575, 139.6917355 35.510184, 139.58130625 35.510184, 139.58130625 35.59942575))",7,6,139.5813063,35.510184,139.6917355,35.59942575
"Polygon ((139.470877 35.6886675, 139.58130625 35.6886675, 139.58130625 35.59942575, 139.470877 35.59942575, 139.470877 35.6886675))",8,7,139.470877,35.59942575,139.5813063,35.6886675
"Polygon ((139.58130625 35.6886675, 139.6917355 35.6886675, 139.6917355 35.59942575, 139.58130625 35.59942575, 139.58130625 35.6886675))",9,8,139.5813063,35.59942575,139.6917355,35.6886675
"Polygon ((139.6917355 35.59942575, 139.80216475 35.59942575, 139.80216475 35.510184, 139.6917355 35.510184, 139.6917355 35.59942575))",10,9,139.6917355,35.510184,139.8021648,35.59942575
"Polygon ((139.80216475 35.59942575, 139.912594 35.59942575, 139.912594 35.510184, 139.80216475 35.510184, 139.80216475 35.59942575))",11,10,139.8021648,35.510184,139.912594,35.59942575
"Polygon ((139.6917355 35.6886675, 139.80216475 35.6886675, 139.80216475 35.59942575, 139.6917355 35.59942575, 139.6917355 35.6886675))",12,11,139.6917355,35.59942575,139.8021648,35.6886675
"Polygon ((139.80216475 35.6886675, 139.912594 35.6886675, 139.912594 35.59942575, 139.80216475 35.59942575, 139.80216475 35.6886675))",13,12,139.8021648,35.59942575,139.912594,35.6886675
"Polygon ((139.470877 35.77790925, 139.58130625 35.77790925, 139.58130625 35.6886675, 139.470877 35.6886675, 139.470877 35.77790925))",14,13,139.470877,35.6886675,139.5813063,35.77790925
"Polygon ((139.58130625 35.77790925, 139.6917355 35.77790925, 139.6917355 35.6886675, 139.58130625 35.6886675, 139.58130625 35.77790925))",15,14,139.5813063,35.6886675,139.6917355,35.77790925
"Polygon ((139.470877 35.867151, 139.58130625 35.867151, 139.58130625 35.77790925, 139.470877 35.77790925, 139.470877 35.867151))",16,15,139.470877,35.77790925,139.5813063,35.867151
"Polygon ((139.58130625 35.867151, 139.6917355 35.867151, 139.6917355 35.77790925, 139.58130625 35.77790925, 139.58130625 35.867151))",17,16,139.5813063,35.77790925,139.6917355,35.867151
"Polygon ((139.6917355 35.77790925, 139.80216475 35.77790925, 139.80216475 35.6886675, 139.6917355 35.6886675, 139.6917355 35.77790925))",18,17,139.6917355,35.6886675,139.8021648,35.77790925
"Polygon ((139.80216475 35.77790925, 139.912594 35.77790925, 139.912594 35.6886675, 139.80216475 35.6886675, 139.80216475 35.77790925))",19,18,139.8021648,35.6886675,139.912594,35.77790925
"Polygon ((139.6917355 35.867151, 139.80216475 35.867151, 139.80216475 35.77790925, 139.6917355 35.77790925, 139.6917355 35.867151))",20,19,139.6917355,35.77790925,139.8021648,35.867151
"Polygon ((139.80216475 35.867151, 139.912594 35.867151, 139.912594 35.77790925, 139.80216475 35.77790925, 139.80216475 35.867151))",21,20,139.8021648,35.77790925,139.912594,35.867151
"Polygon ((139.470877 35.554804875, 139.526091625 35.554804875, 139.526091625 35.510184, 139.470877 35.510184, 139.470877 35.554804875))",22,21,139.470877,35.510184,139.5260916,35.55480488
"Polygon ((139.526091625 35.554804875, 139.58130625 35.554804875, 139.58130625 35.510184, 139.526091625 35.510184, 139.526091625 35.554804875))",23,22,139.5260916,35.510184,139.5813063,35.55480488
"Polygon ((139.470877 35.59942575, 139.526091625 35.59942575, 139.526091625 35.554804875, 139.470877 35.554804875, 139.470877 35.59942575))",24,23,139.470877,35.55480488,139.5260916,35.59942575
"Polygon ((139.526091625 35.59942575, 139.58130625 35.59942575, 139.58130625 35.554804875, 139.526091625 35.554804875, 139.526091625 35.59942575))",25,24,139.5260916,35.55480488,139.5813063,35.59942575
"Polygon ((139.58130625 35.554804875, 139.636520875 35.554804875, 139.636520875 35.510184, 139.58130625 35.510184, 139.58130625 35.554804875))",26,25,139.5813063,35.510184,139.6365209,35.55480488
"Polygon ((139.636520875 35.554804875, 139.6917355 35.554804875, 139.6917355 35.510184, 139.636520875 35.510184, 139.636520875 35.554804875))",27,26,139.6365209,35.510184,139.6917355,35.55480488
"Polygon ((139.58130625 35.59942575, 139.636520875 35.59942575, 139.636520875 35.554804875, 139.58130625 35.554804875, 139.58130625 35.59942575))",28,27,139.5813063,35.55480488,139.6365209,35.59942575
"Polygon ((139.636520875 35.59942575, 139.6917355 35.59942575, 139.6917355 35.554804875, 139.636520875 35.554804875, 139.636520875 35.59942575))",29,28,139.6365209,35.55480488,139.6917355,35.59942575
"Polygon ((139.470877 35.644046625, 139.526091625 35.644046625, 139.526091625 35.59942575, 139.470877 35.59942575, 139.470877 35.644046625))",30,29,139.470877,35.59942575,139.5260916,35.64404663
"Polygon ((139.526091625 35.644046625, 139.58130625 35.644046625, 139.58130625 35.59942575, 139.526091625 35.59942575, 139.526091625 35.644046625))",31,30,139.5260916,35.59942575,139.5813063,35.64404663
"Polygon ((139.470877 35.6886675, 139.526091625 35.6886675, 139.526091625 35.644046625, 139.470877 35.644046625, 139.470877 35.6886675))",32,31,139.470877,35.64404663,139.5260916,35.6886675
"Polygon ((139.526091625 35.6886675, 139.58130625 35.6886675, 139.58130625 35.644046625, 139.526091625 35.644046625, 139.526091625 35.6886675))",33,32,139.5260916,35.64404663,139.5813063,35.6886675
"Polygon ((139.58130625 35.644046625, 139.636520875 35.644046625, 139.636520875 35.59942575, 139.58130625 35.59942575, 139.58130625 35.644046625))",34,33,139.5813063,35.59942575,139.6365209,35.64404663
"Polygon ((139.636520875 35.644046625, 139.6917355 35.644046625, 139.6917355 35.59942575, 139.636520875 35.59942575, 139.636520875 35.644046625))",35,34,139.6365209,35.59942575,139.6917355,35.64404663
"Polygon ((139.58130625 35.6886675, 139.636520875 35.6886675, 139.636520875 35.644046625, 139.58130625 35.644046625, 139.58130625 35.6886675))",36,35,139.5813063,35.64404663,139.6365209,35.6886675
"Polygon ((139.636520875 35.6886675, 139.6917355 35.6886675, 139.6917355 35.644046625, 139.636520875 35.644046625, 139.636520875 35.6886675))",37,36,139.6365209,35.64404663,139.6917355,35.6886675
"Polygon ((139.6917355 35.554804875, 139.746950125 35.554804875, 139.746950125 35.510184, 139.6917355 35.510184, 139.6917355 35.554804875))",38,37,139.6917355,35.510184,139.7469501,35.55480488
"Polygon ((139.746950125 35.554804875, 139.80216475 35.554804875, 139.80216475 35.510184, 139.746950125 35.510184, 139.746950125 35.554804875))",39,38,139.7469501,35.510184,139.8021648,35.55480488
"Polygon ((139.6917355 35.59942575, 139.746950125 35.59942575, 139.746950125 35.554804875, 139.6917355 35.554804875, 139.6917355 35.59942575))",40,39,139.6917355,35.55480488,139.7469501,35.59942575
"Polygon ((139.746950125 35.59942575, 139.80216475 35.59942575, 139.80216475 35.554804875, 139.746950125 35.554804875, 139.746950125 35.59942575))",41,40,139.7469501,35.55480488,139.8021648,35.59942575
"Polygon ((139.6917355 35.644046625, 139.746950125 35.644046625, 139.746950125 35.59942575, 139.6917355 35.59942575, 139.6917355 35.644046625))",42,45,139.6917355,35.59942575,139.7469501,35.64404663
"Polygon ((139.746950125 35.644046625, 139.80216475 35.644046625, 139.80216475 35.59942575, 139.746950125 35.59942575, 139.746950125 35.644046625))",43,46,139.7469501,35.59942575,139.8021648,35.64404663
"Polygon ((139.6917355 35.6886675, 139.746950125 35.6886675, 139.746950125 35.644046625, 139.6917355 35.644046625, 139.6917355 35.6886675))",44,47,139.6917355,35.64404663,139.7469501,35.6886675
"Polygon ((139.746950125 35.6886675, 139.80216475 35.6886675, 139.80216475 35.644046625, 139.746950125 35.644046625, 139.746950125 35.6886675))",45,48,139.7469501,35.64404663,139.8021648,35.6886675
"Polygon ((139.80216475 35.644046625, 139.857379375 35.644046625, 139.857379375 35.59942575, 139.80216475 35.59942575, 139.80216475 35.644046625))",46,49,139.8021648,35.59942575,139.8573794,35.64404663
"Polygon ((139.857379375 35.644046625, 139.912594 35.644046625, 139.912594 35.59942575, 139.857379375 35.59942575, 139.857379375 35.644046625))",47,50,139.8573794,35.59942575,139.912594,35.64404663
"Polygon ((139.80216475 35.6886675, 139.857379375 35.6886675, 139.857379375 35.644046625, 139.80216475 35.644046625, 139.80216475 35.6886675))",48,51,139.8021648,35.64404663,139.8573794,35.6886675
"Polygon ((139.857379375 35.6886675, 139.912594 35.6886675, 139.912594 35.644046625, 139.857379375 35.644046625, 139.857379375 35.6886675))",49,52,139.8573794,35.64404663,139.912594,35.6886675
"Polygon ((139.470877 35.733288375, 139.526091625 35.733288375, 139.526091625 35.6886675, 139.470877 35.6886675, 139.470877 35.733288375))",50,53,139.470877,35.6886675,139.5260916,35.73328838
"Polygon ((139.526091625 35.733288375, 139.58130625 35.733288375, 139.58130625 35.6886675, 139.526091625 35.6886675, 139.526091625 35.733288375))",51,54,139.5260916,35.6886675,139.5813063,35.73328838
"Polygon ((139.470877 35.77790925, 139.526091625 35.77790925, 139.526091625 35.733288375, 139.470877 35.733288375, 139.470877 35.77790925))",52,55,139.470877,35.73328838,139.5260916,35.77790925
"Polygon ((139.526091625 35.77790925, 139.58130625 35.77790925, 139.58130625 35.733288375, 139.526091625 35.733288375, 139.526091625 35.77790925))",53,56,139.5260916,35.73328838,139.5813063,35.77790925
"Polygon ((139.58130625 35.733288375, 139.636520875 35.733288375, 139.636520875 35.6886675, 139.58130625 35.6886675, 139.58130625 35.733288375))",54,57,139.5813063,35.6886675,139.6365209,35.73328838
"Polygon ((139.636520875 35.733288375, 139.6917355 35.733288375, 139.6917355 35.6886675, 139.636520875 35.6886675, 139.636520875 35.733288375))",55,58,139.6365209,35.6886675,139.6917355,35.73328838
"Polygon ((139.58130625 35.77790925, 139.636520875 35.77790925, 139.636520875 35.733288375, 139.58130625 35.733288375, 139.58130625 35.77790925))",56,59,139.5813063,35.73328838,139.6365209,35.77790925
"Polygon ((139.636520875 35.77790925, 139.6917355 35.77790925, 139.6917355 35.733288375, 139.636520875 35.733288375, 139.636520875 35.77790925))",57,60,139.6365209,35.73328838,139.6917355,35.77790925
"Polygon ((139.470877 35.822530125, 139.526091625 35.822530125, 139.526091625 35.77790925, 139.470877 35.77790925, 139.470877 35.822530125))",58,61,139.470877,35.77790925,139.5260916,35.82253013
"Polygon ((139.526091625 35.822530125, 139.58130625 35.822530125, 139.58130625 35.77790925, 139.526091625 35.77790925, 139.526091625 35.822530125))",59,62,139.5260916,35.77790925,139.5813063,35.82253013
"Polygon ((139.470877 35.867151, 139.526091625 35.867151, 139.526091625 35.822530125, 139.470877 35.822530125, 139.470877 35.867151))",60,63,139.470877,35.82253013,139.5260916,35.867151
"Polygon ((139.526091625 35.867151, 139.58130625 35.867151, 139.58130625 35.822530125, 139.526091625 35.822530125, 139.526091625 35.867151))",61,64,139.5260916,35.82253013,139.5813063,35.867151
"Polygon ((139.58130625 35.822530125, 139.636520875 35.822530125, 139.636520875 35.77790925, 139.58130625 35.77790925, 139.58130625 35.822530125))",62,65,139.5813063,35.77790925,139.6365209,35.82253013
"Polygon ((139.636520875 35.822530125, 139.6917355 35.822530125, 139.6917355 35.77790925, 139.636520875 35.77790925, 139.636520875 35.822530125))",63,66,139.6365209,35.77790925,139.6917355,35.82253013
"Polygon ((139.58130625 35.867151, 139.636520875 35.867151, 139.636520875 35.822530125, 139.58130625 35.822530125, 139.58130625 35.867151))",64,67,139.5813063,35.82253013,139.6365209,35.867151
"Polygon ((139.636520875 35.867151, 139.6917355 35.867151, 139.6917355 35.822530125, 139.636520875 35.822530125, 139.636520875 35.867151))",65,68,139.6365209,35.82253013,139.6917355,35.867151
"Polygon ((139.6917355 35.733288375, 139.746950125 35.733288375, 139.746950125 35.6886675, 139.6917355 35.6886675, 139.6917355 35.733288375))",66,69,139.6917355,35.6886675,139.7469501,35.73328838
"Polygon ((139.746950125 35.733288375, 139.80216475 35.733288375, 139.80216475 35.6886675, 139.746950125 35.6886675, 139.746950125 35.733288375))",67,70,139.7469501,35.6886675,139.8021648,35.73328838
"Polygon ((139.6917355 35.77790925, 139.746950125 35.77790925, 139.746950125 35.733288375, 139.6917355 35.733288375, 139.6917355 35.77790925))",68,71,139.6917355,35.73328838,139.7469501,35.77790925
"Polygon ((139.746950125 35.77790925, 139.80216475 35.77790925, 139.80216475 35.733288375, 139.746950125 35.733288375, 139.746950125 35.77790925))",69,72,139.7469501,35.73328838,139.8021648,35.77790925
"Polygon ((139.80216475 35.733288375, 139.857379375 35.733288375, 139.857379375 35.6886675, 139.80216475 35.6886675, 139.80216475 35.733288375))",70,73,139.8021648,35.6886675,139.8573794,35.73328838
"Polygon ((139.857379375 35.733288375, 139.912594 35.733288375, 139.912594 35.6886675, 139.857379375 35.6886675, 139.857379375 35.733288375))",71,74,139.8573794,35.6886675,139.912594,35.73328838
"Polygon ((139.80216475 35.77790925, 139.857379375 35.77790925, 139.857379375 35.733288375, 139.80216475 35.733288375, 139.80216475 35.77790925))",72,75,139.8021648,35.73328838,139.8573794,35.77790925
"Polygon ((139.857379375 35.77790925, 139.912594 35.77790925, 139.912594 35.733288375, 139.857379375 35.733288375, 139.857379375 35.77790925))",73,76,139.8573794,35.73328838,139.912594,35.77790925
"Polygon ((139.6917355 35.822530125, 139.746950125 35.822530125, 139.746950125 35.77790925, 139.6917355 35.77790925, 139.6917355 35.822530125))",74,77,139.6917355,35.77790925,139.7469501,35.82253013
"Polygon ((139.746950125 35.822530125, 139.80216475 35.822530125, 139.80216475 35.77790925, 139.746950125 35.77790925, 139.746950125 35.822530125))",75,78,139.7469501,35.77790925,139.8021648,35.82253013
"Polygon ((139.6917355 35.867151, 139.746950125 35.867151, 139.746950125 35.822530125, 139.6917355 35.822530125, 139.6917355 35.867151))",76,79,139.6917355,35.82253013,139.7469501,35.867151
"Polygon ((139.746950125 35.867151, 139.80216475 35.867151, 139.80216475 35.822530125, 139.746950125 35.822530125, 139.746950125 35.867151))",77,80,139.7469501,35.82253013,139.8021648,35.867151
"Polygon ((139.80216475 35.822530125, 139.857379375 35.822530125, 139.857379375 35.77790925, 139.80216475 35.77790925, 139.80216475 35.822530125))",78,81,139.8021648,35.77790925,139.8573794,35.82253013
"Polygon ((139.857379375 35.822530125, 139.912594 35.822530125, 139.912594 35.77790925, 139.857379375 35.77790925, 139.857379375 35.822530125))",79,82,139.8573794,35.77790925,139.912594,35.82253013
"Polygon ((139.80216475 35.867151, 139.857379375 35.867151, 139.857379375 35.822530125, 139.80216475 35.822530125, 139.80216475 35.867151))",80,83,139.8021648,35.82253013,139.8573794,35.867151
"Polygon ((139.857379375 35.867151, 139.912594 35.867151, 139.912594 35.822530125, 139.857379375 35.822530125, 139.857379375 35.867151))",81,84,139.8573794,35.82253013,139.912594,35.867151
"Polygon ((139.526091625 35.532494437500006, 139.5536989375 35.532494437500006, 139.5536989375 35.510184, 139.526091625 35.510184, 139.526091625 35.532494437500006))",82,89,139.5260916,35.510184,139.5536989,35.53249444
"Polygon ((139.5536989375 35.532494437500006, 139.58130625 35.532494437500006, 139.58130625 35.510184, 139.5536989375 35.510184, 139.5536989375 35.532494437500006))",83,90,139.5536989,35.510184,139.5813063,35.53249444
"Polygon ((139.526091625 35.554804875, 139.5536989375 35.554804875, 139.5536989375 35.532494437500006, 139.526091625 35.532494437500006, 139.526091625 35.554804875))",84,91,139.5260916,35.53249444,139.5536989,35.55480488
"Polygon ((139.5536989375 35.554804875, 139.58130625 35.554804875, 139.58130625 35.532494437500006, 139.5536989375 35.532494437500006, 139.5536989375 35.554804875))",85,92,139.5536989,35.53249444,139.5813063,35.55480488
"Polygon ((139.526091625 35.5771153125, 139.5536989375 35.5771153125, 139.5536989375 35.554804875, 139.526091625 35.554804875, 139.526091625 35.5771153125))",86,97,139.5260916,35.55480488,139.5536989,35.57711531
"Polygon ((139.5536989375 35.5771153125, 139.58130625 35.5771153125, 139.58130625 35.554804875, 139.5536989375 35.554804875, 139.5536989375 35.5771153125))",87,98,139.5536989,35.55480488,139.5813063,35.57711531
"Polygon ((139.526091625 35.59942575, 139.5536989375 35.59942575, 139.5536989375 35.5771153125, 139.526091625 35.5771153125, 139.526091625 35.59942575))",88,99,139.5260916,35.57711531,139.5536989,35.59942575
"Polygon ((139.5536989375 35.59942575, 139.58130625 35.59942575, 139.58130625 35.5771153125, 139.5536989375 35.5771153125, 139.5536989375 35.59942575))",89,100,139.5536989,35.57711531,139.5813063,35.59942575
"Polygon ((139.58130625 35.532494437500006, 139.6089135625 35.532494437500006, 139.6089135625 35.510184, 139.58130625 35.510184, 139.58130625 35.532494437500006))",90,101,139.5813063,35.510184,139.6089136,35.53249444
"Polygon ((139.6089135625 35.532494437500006, 139.636520875 35.532494437500006, 139.636520875 35.510184, 139.6089135625 35.510184, 139.6089135625 35.532494437500006))",91,102,139.6089136,35.510184,139.6365209,35.53249444
"Polygon ((139.58130625 35.554804875, 139.6089135625 35.554804875, 139.6089135625 35.532494437500006, 139.58130625 35.532494437500006, 139.58130625 35.554804875))",92,103,139.5813063,35.53249444,139.6089136,35.55480488
"Polygon ((139.6089135625 35.554804875, 139.636520875 35.554804875, 139.636520875 35.532494437500006, 139.6089135625 35.532494437500006, 139.6089135625 35.554804875))",93,104,139.6089136,35.53249444,139.6365209,35.55480488
"Polygon ((139.636520875 35.532494437500006, 139.6641281875 35.532494437500006, 139.6641281875 35.510184, 139.636520875 35.510184, 139.636520875 35.532494437500006))",94,105,139.6365209,35.510184,139.6641282,35.53249444
"Polygon ((139.6641281875 35.532494437500006, 139.6917355 35.532494437500006, 139.6917355 35.510184, 139.6641281875 35.510184, 139.6641281875 35.532494437500006))",95,106,139.6641282,35.510184,139.6917355,35.53249444
"Polygon ((139.636520875 35.554804875, 139.6641281875 35.554804875, 139.6641281875 35.532494437500006, 139.636520875 35.532494437500006, 139.636520875 35.554804875))",96,107,139.6365209,35.53249444,139.6641282,35.55480488
"Polygon ((139.6641281875 35.554804875, 139.6917355 35.554804875, 139.6917355 35.532494437500006, 139.6641281875 35.532494437500006, 139.6641281875 35.554804875))",97,108,139.6641282,35.53249444,139.6917355,35.55480488
"Polygon ((139.58130625 35.5771153125, 139.6089135625 35.5771153125, 139.6089135625 35.554804875, 139.58130625 35.554804875, 139.58130625 35.5771153125))",98,109,139.5813063,35.55480488,139.6089136,35.57711531
"Polygon ((139.6089135625 35.5771153125, 139.636520875 35.5771153125, 139.636520875 35.554804875, 139.6089135625 35.554804875, 139.6089135625 35.5771153125))",99,110,139.6089136,35.55480488,139.6365209,35.57711531
"Polygon ((139.58130625 35.59942575, 139.6089135625 35.59942575, 139.6089135625 35.5771153125, 139.58130625 35.5771153125, 139.58130625 35.59942575))",100,111,139.5813063,35.57711531,139.6089136,35.59942575
"Polygon ((139.6089135625 35.59942575, 139.636520875 35.59942575, 139.636520875 35.5771153125, 139.6089135625 35.5771153125, 139.6089135625 35.59942575))",101,112,139.6089136,35.57711531,139.6365209,35.59942575
"Polygon ((139.636520875 35.5771153125, 139.6641281875 35.5771153125, 139.6641281875 35.554804875, 139.636520875 35.554804875, 139.636520875 35.5771153125))",102,113,139.6365209,35.55480488,139.6641282,35.57711531
"Polygon ((139.6641281875 35.5771153125, 139.6917355 35.5771153125, 139.6917355 35.554804875, 139.6641281875 35.554804875, 139.6641281875 35.5771153125))",103,114,139.6641282,35.55480488,139.6917355,35.57711531
"Polygon ((139.636520875 35.59942575, 139.6641281875 35.59942575, 139.6641281875 35.5771153125, 139.636520875 35.5771153125, 139.636520875 35.59942575))",104,115,139.6365209,35.57711531,139.6641282,35.59942575
"Polygon ((139.6641281875 35.59942575, 139.6917355 35.59942575, 139.6917355 35.5771153125, 139.6641281875 35.5771153125, 139.6641281875 35.59942575))",105,116,139.6641282,35.57711531,139.6917355,35.59942575
"Polygon ((139.470877 35.621736187500005, 139.4984843125 35.621736187500005, 139.4984843125 35.59942575, 139.470877 35.59942575, 139.470877 35.621736187500005))",106,117,139.470877,35.59942575,139.4984843,35.62173619
"Polygon ((139.4984843125 35.621736187500005, 139.526091625 35.621736187500005, 139.526091625 35.59942575, 139.4984843125 35.59942575, 139.4984843125 35.621736187500005))",107,118,139.4984843,35.59942575,139.5260916,35.62173619
"Polygon ((139.470877 35.644046625, 139.4984843125 35.644046625, 139.4984843125 35.621736187500005, 139.470877 35.621736187500005, 139.470877 35.644046625))",108,119,139.470877,35.62173619,139.4984843,35.64404663
"Polygon ((139.4984843125 35.644046625, 139.526091625 35.644046625, 139.526091625 35.621736187500005, 139.4984843125 35.621736187500005, 139.4984843125 35.644046625))",109,120,139.4984843,35.62173619,139.5260916,35.64404663
"Polygon ((139.526091625 35.621736187500005, 139.5536989375 35.621736187500005, 139.5536989375 35.59942575, 139.526091625 35.59942575, 139.526091625 35.621736187500005))",110,121,139.5260916,35.59942575,139.5536989,35.62173619
"Polygon ((139.5536989375 35.621736187500005, 139.58130625 35.621736187500005, 139.58130625 35.59942575, 139.5536989375 35.59942575, 139.5536989375 35.621736187500005))",111,122,139.5536989,35.59942575,139.5813063,35.62173619
